SPA Эко,5000,4000,3000
6+24+1,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»",150,1,8400
12+8,Relax массаж «Тай Оил»+Массаж с проработкой «Тай + травяные мешочки»,120,1,7200
17+43,Relax массаж Стоун+Программы для похудения «Слим»,150,1,9600
1+19+5,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Голова»+Массаж с проработкой «Восстанавливающий»,180,1,9600
22+16,Программы для рук и ног «Руки»+Relax массаж Тай Оил + травяные мешочки,150,1,8800
1+43,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для похудения «Слим»,120,1,8000
SPA Лукс,12000,9600,7200
34+4,SPA - уход «Мужской комплимент»+Массаж с проработкой «Восстанавливающий»,180,1,9600
17+7,"Relax массаж Стоун+Массаж с проработкой «Спина, Шея, и Плечи»",150,1,8000
19+7+2,"Программы для лица и головы «Голова»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,9600
44+31,Программы для похудения «Слим и тай ойл»+SPA - уход «Бархатное прикосновение»,150,1,9200
12+11,Relax массаж «Тай Оил»+Массаж с проработкой «Спорт-oil»,150,1,9600
6+32,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Принцесса сиама»",120,1,7600
10+31,Массаж с проработкой «Спорт-oil»+SPA - уход «Бархатное прикосновение»,120,1,7600
19+16,Программы для лица и головы «Голова»+Relax массаж Тай Оил + травяные мешочки,150,1,8800
45,Программы для похудения «Талассотерапия»,120,1,8000
20+18+1,Программы для лица и головы «Лицо и голова»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
